indicator,weight,entropy,divergence
C3_visual_completeness,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C4_depth_validity,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C5_joint_completeness,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C6_attribute_completeness,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C8_joint_anomaly_quality,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C10_joint_noise_quality,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C11_timestamp_consistency,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C12_scene_entropy,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C13_object_diversity,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C14_atomic_skill_diversity,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C15_motion_mode_diversity,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C16_multimodal_alignment,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C17_visual_joint_mi,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C18_joint_coordination,0.09999999999976919,-1.4428232973175175e-12,1.0000000000014428
C19_duplicate_uniqueness,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C21_label_completeness,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C22_metadata_standardization,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
C23_scene_description_completeness,2.8853586186874965e-13,0.9999999999971146,2.8853586186983193e-12
